article l_citation8 editor_incharge diff_gender n_pages n_authors n_references AER ECA JPE 2001 2002
1108 3.526360525 0 0 24 2 34 1 0 0 0 0
1110 4.584967479 0 0 22 2 39 1 0 0 0 1
1112 2.833213344 0 0 17 2 15 0 0 1 1 0
1113 2.944438979 1 0 32 2 27 0 1 0 0 0
1117 3.17805383 0 0 38 3 14 0 0 1 0 0
1118 2.995732274 0 0 28 1 28 0 0 0 0 0
1119 3.761200116 0 1 29 3 27 0 0 1 0 1
1120 3.583518938 0 0 33 2 31 0 0 0 0 1
1121 3.583518938 0 0 37 1 26 0 1 0 1 0
1124 4.844187086 0 0 25 3 52 1 0 0 1 0
1128 4.143134726 0 0 17 2 40 1 0 0 1 0
1129 2.197224577 0 0 24 2 32 0 0 1 1 0
1131 2.197224577 0 0 36 1 24 0 1 0 0 1
1132 1.386294361 0 1 22 2 23 1 0 0 0 1
1134 4.262679877 0 0 25 2 57 0 0 0 1 0
1135 1.609437912 0 1 21 2 29 1 0 0 0 0
1144 3.526360525 0 1 15 2 52 1 0 0 1 0
1145 4.060443011 0 0 23 2 36 0 0 1 0 0
1146 3.737669618 0 0 16 1 38 0 0 0 0 0
1147 4.406719247 0 0 44 2 42 0 0 0 1 0
1148 4.369447852 0 1 28 2 57 0 0 1 0 1
1150 2.302585093 0 0 21 1 25 0 0 1 0 0
1154 2.564949357 0 0 14 1 17 0 0 1 1 0
1155 2.197224577 0 0 13 1 12 1 0 0 0 0
1156 3.988984047 1 0 19 4 45 1 0 0 0 1
1157 2.772588722 0 0 38 1 51 0 0 0 0 1
1160 4.248495242 0 0 22 1 24 1 0 0 1 0
1161 4.836281907 0 0 30 1 26 0 1 0 0 0
1162 3.218875825 0 0 24 2 31 0 1 0 1 0
1165 4.33073334 0 0 39 2 53 0 0 0 0 0
1170 4.17438727 0 0 19 2 26 0 1 0 0 1
1171 3.663561646 0 1 21 2 54 1 0 0 0 0
1172 4.025351691 0 0 33 2 35 0 0 1 1 0
1177 2.708050201 0 0 14 1 25 0 0 1 0 0
1178 2.564949357 0 0 23 2 60 1 0 0 0 1
1180 3.36729583 0 0 17 2 19 0 0 1 0 1
1181 1.386294361 0 0 15 1 21 1 0 0 1 0
1182 4.276666119 1 0 33 2 37 0 1 0 1 0
1187 2.302585093 0 0 27 1 34 0 1 0 0 1
1188 4.605170186 0 0 28 1 31 0 0 1 0 0
1190 3.33220451 0 0 38 1 31 0 1 0 0 0
1192 5.209486153 1 0 48 3 69 0 0 0 1 0
1193 0 0 0 25 3 25 0 0 1 0 1
1194 4.49980967 0 0 49 3 31 0 0 0 0 1
1196 2.772588722 0 0 8 1 24 1 0 0 1 0
1200 2.63905733 0 1 12 2 15 1 0 0 0 1
1204 2.890371758 0 0 20 1 19 0 0 1 1 0
1205 4.727387819 0 0 34 1 60 0 0 0 0 0
1206 2.397895273 0 0 12 1 16 1 0 0 1 0
1207 3.36729583 0 0 19 2 48 1 0 0 0 0
1209 2.772588722 0 0 19 2 35 1 0 0 0 1
1217 2.197224577 0 1 17 2 46 1 0 0 1 0
1218 2.079441542 0 0 32 2 22 0 1 0 0 1
1220 3.63758616 0 0 30 2 24 0 0 1 0 0
1221 4.634728988 0 0 32 2 57 0 1 0 1 0
1222 2.48490665 0 1 12 3 24 0 0 1 0 1
1225 2.197224577 0 0 30 1 34 0 0 1 1 0
1228 1.098612289 0 0 9 1 16 1 0 0 0 0
1231 3.555348061 0 0 42 1 31 0 1 0 0 0
1232 3.218875825 0 0 20 1 21 1 0 0 0 1
1234 2.995732274 0 0 26 3 51 0 0 1 0 1
1239 1.609437912 0 0 15 3 19 1 0 0 1 0
1240 1.098612289 0 1 18 2 23 1 0 0 0 0
1241 3.17805383 0 0 44 4 52 0 0 0 0 0
1243 4.543294782 0 0 25 3 48 0 0 0 1 0
1246 3.784189634 0 0 36 2 49 0 0 0 0 1
1248 4.430816799 0 0 17 2 26 0 0 1 0 0
1249 2.995732274 0 0 18 2 48 1 0 0 1 0
1250 2.079441542 0 0 29 2 15 0 1 0 0 1
1251 3.496507561 0 0 19 3 30 1 0 0 0 1
1253 3.36729583 0 1 17 3 16 0 1 0 1 0
1255 2.079441542 0 0 14 2 13 1 0 0 0 0
1262 3.610917913 0 0 30 1 30 0 0 1 0 1
1266 4.510859507 0 0 76 1 0 0 0 1 1 0
1271 3.17805383 0 0 8 3 18 0 0 1 0 0
1272 3.433987204 0 1 12 2 11 1 0 0 1 0
1273 4.94875989 0 0 24 1 27 0 0 0 1 0
1276 1.609437912 0 0 23 2 27 1 0 0 0 1
1277 3.951243719 0 0 52 1 45 0 1 0 1 0
1278 2.708050201 0 0 10 4 14 0 1 0 0 0
1281 3.80666249 0 1 40 2 65 0 0 1 0 0
1282 3.63758616 1 0 48 1 23 0 1 0 1 0
1285 4.919980926 0 0 16 3 29 1 0 0 1 0
1286 2.708050201 0 0 23 3 34 0 1 0 0 1
1289 3.36729583 0 1 20 3 14 0 1 0 0 0
1291 3.401197382 0 0 39 3 41 0 0 0 0 1
1297 4.521788577 0 0 25 1 22 0 0 1 0 1
1298 4.510859507 0 0 42 2 20 0 0 0 1 0
1300 3.850147602 0 1 13 3 27 1 0 0 0 1
1301 4.317488114 0 0 6 2 8 0 0 0 0 0
1302 3.295836866 0 0 15 3 27 1 0 0 1 0
1306 3.433987204 0 0 22 1 48 1 0 0 0 1
1310 0 0 0 6 3 11 0 1 0 0 0
1311 4.248495242 0 0 27 2 20 1 0 0 0 0
1313 5.204006687 0 1 39 2 119 0 0 0 0 0
1314 3.17805383 0 0 20 1 33 0 1 0 0 1
1319 5.003946306 0 0 18 2 32 1 0 0 0 1
1320 3.80666249 0 0 33 2 31 0 0 1 0 0
1324 3.295836866 1 0 40 3 36 0 0 1 0 1
1325 2.772588722 0 0 23 1 37 1 0 0 0 0
1327 4.418840608 1 1 41 2 48 0 0 1 0 1
1330 0.693147181 0 0 13 1 21 0 1 0 1 0
1331 3.33220451 0 0 40 1 41 0 0 0 0 1
1332 5.170483995 0 0 17 2 30 0 1 0 0 1
1337 2.772588722 0 0 23 1 24 1 0 0 0 0
1340 4.543294782 0 1 34 2 44 1 0 0 0 1
1342 3.951243719 0 0 29 2 18 0 0 0 1 0
1346 3.295836866 0 0 16 3 37 0 1 0 1 0
1347 2.890371758 0 0 27 1 21 0 0 1 1 0
1351 2.63905733 0 0 10 1 21 0 1 0 0 1
1352 2.995732274 0 0 23 1 37 1 0 0 1 0
1353 3.871201011 0 0 35 2 40 0 0 0 0 0
1356 2.397895273 0 0 17 2 64 0 0 1 0 0
1359 1.945910149 0 0 5 2 9 0 1 0 1 0
1360 2.772588722 0 0 15 2 35 0 1 0 0 1
1363 2.833213344 0 1 22 3 33 1 0 0 0 0
1367 3.737669618 0 1 22 3 15 0 0 1 0 1
1369 0 0 0 14 2 12 0 1 0 1 0
1372 4.110873864 0 0 24 2 13 0 1 0 0 0
1373 3.970291914 0 0 42 1 32 0 0 0 0 1
1374 3.044522438 0 0 35 2 55 0 0 1 1 0
1375 3.951243719 0 0 27 1 51 0 0 0 1 0
1376 3.295836866 0 0 17 3 26 1 0 0 1 0
1377 2.944438979 0 0 29 2 17 0 0 1 0 0
1378 2.197224577 0 0 19 2 38 1 0 0 0 1
1381 3.135494216 0 0 19 1 50 0 1 0 0 1
1388 1.945910149 0 0 8 2 13 0 1 0 1 0
1389 3.713572067 0 0 19 3 32 1 0 0 0 0
1391 2.48490665 0 0 24 2 18 0 0 1 1 0
1392 3.850147602 1 0 41 2 25 0 0 1 0 0
1394 4.852030264 0 0 20 2 27 1 0 0 1 0
1395 4.317488114 0 0 20 2 31 0 0 0 0 0
1399 4.248495242 0 0 32 3 54 0 0 1 0 1
1400 4.406719247 0 0 19 1 15 1 0 0 1 0
1403 3.17805383 0 0 20 2 24 1 0 0 0 1
1404 3.555348061 0 0 40 3 40 0 1 0 0 0
1405 3.36729583 0 0 16 2 20 0 1 0 0 1
1406 4.127134385 0 0 47 2 56 0 0 0 1 0
1407 5.252273428 0 0 23 2 50 1 0 0 0 0
1408 1.386294361 0 0 26 1 21 0 0 1 0 0
1410 3.761200116 0 0 39 1 49 0 0 0 1 0
1413 4.48863637 0 0 31 2 43 0 0 1 1 0
1414 5.214935758 1 1 36 4 37 0 0 0 0 0
1418 3.433987204 0 1 18 2 36 1 0 0 1 0
1422 0.693147181 0 0 15 1 22 0 1 0 0 1
1424 5.863631176 0 0 53 2 42 0 0 0 0 1
1425 2.995732274 0 0 32 2 49 1 0 0 0 1
1430 4.584967479 0 0 29 1 23 0 0 1 0 1
1431 3.891820298 0 0 18 1 37 1 0 0 0 0
1433 3.526360525 0 1 29 3 11 0 1 0 1 0
1436 3.784189634 0 0 26 3 46 1 0 0 1 0
1437 2.708050201 0 0 12 1 19 0 1 0 0 1
1438 3.663561646 0 0 30 1 20 0 0 1 0 0
1444 3.970291914 0 1 36 2 39 0 1 0 0 0
1446 2.197224577 0 0 22 2 26 0 0 1 1 0
1449 5.673323267 0 0 22 2 29 1 0 0 0 0
1450 4.836281907 1 1 58 2 38 0 0 0 0 0
1452 3.218875825 0 0 34 2 36 0 1 0 0 0
1453 4.997212274 0 0 36 2 28 0 0 0 0 1
1455 3.80666249 0 0 24 4 35 1 0 0 0 1
1456 3.17805383 0 0 23 1 21 0 0 1 0 0
1458 4.33073334 1 0 47 3 42 0 0 0 1 0
1459 3.583518938 0 0 29 1 21 0 0 1 0 1
1460 3.433987204 0 0 28 1 57 0 1 0 0 1
1464 4.17438727 0 0 19 2 25 1 0 0 1 0
1466 4.060443011 0 0 29 1 44 0 1 0 1 0
1470 2.397895273 0 1 36 2 33 0 0 1 1 0
1474 4.990432587 0 0 19 1 31 1 0 0 0 0
1479 4.418840608 0 0 45 2 61 0 0 0 0 1
1482 4.189654742 0 0 15 1 18 1 0 0 0 1
1483 4.189654742 0 0 31 1 25 0 0 1 0 0
1484 1.791759469 0 0 36 1 11 0 1 0 0 0
1486 4.941642423 0 0 32 3 26 1 0 0 1 0
1490 2.397895273 0 0 17 2 20 0 0 1 0 1
1491 3.33220451 0 0 23 1 35 0 1 0 0 1
1495 2.995732274 0 0 21 2 21 1 0 0 0 0
1496 3.610917913 0 0 16 2 29 1 0 0 0 1
1499 3.761200116 1 0 44 3 27 0 1 0 1 0
1506 3.36729583 0 0 19 3 24 0 0 1 0 1
1507 2.63905733 0 0 30 1 17 0 0 1 1 0
1508 4.718498871 0 1 32 2 43 0 0 0 1 0
1513 2.708050201 0 0 23 2 13 0 0 1 0 0
1514 2.197224577 0 0 23 2 83 1 0 0 0 1
1517 3.871201011 0 0 49 1 57 0 0 0 0 0
1518 3.970291914 0 0 22 2 29 0 1 0 0 1
1519 4.304065093 0 0 15 2 34 1 0 0 1 0
1520 2.995732274 0 0 18 2 24 1 0 0 0 0
1522 4.219507705 0 0 27 3 45 0 1 0 0 1
1524 2.302585093 0 0 20 1 18 0 1 0 0 0
1527 4.369447852 0 0 43 2 45 0 0 1 1 0
1528 3.33220451 0 0 45 2 62 0 0 0 0 1
1533 3.295836866 0 0 30 2 25 0 0 1 0 1
1534 2.197224577 0 0 14 1 18 1 0 0 1 0
1537 2.564949357 0 0 17 3 24 1 0 0 0 0
1538 3.912023005 0 0 29 1 64 1 0 0 0 1
1539 3.33220451 0 0 33 2 33 0 0 1 0 0
1543 3.044522438 0 1 41 2 23 0 1 0 0 1
1547 3.891820298 0 0 27 2 57 1 0 0 0 1
1551 2.302585093 0 0 50 2 30 0 1 0 0 0
1554 3.555348061 0 0 35 2 29 0 0 0 1 0
1555 3.951243719 0 0 23 2 29 0 1 0 1 0
1560 4.615120517 0 0 26 2 60 1 0 0 1 0
1562 1.386294361 0 0 17 2 38 1 0 0 0 0
1566 4.110873864 1 0 47 1 21 0 0 1 0 1
1570 3.63758616 0 0 34 2 54 0 0 0 0 0
1572 3.17805383 1 0 24 2 28 1 0 0 0 1
1573 3.784189634 1 1 35 2 27 0 0 1 1 0
1574 4.682131227 0 1 35 3 51 0 1 0 1 0
1577 4.48863637 0 0 34 1 67 1 0 0 0 0
1579 3.970291914 0 0 12 2 34 1 0 0 0 0
1581 2.772588722 0 0 31 2 23 0 0 1 0 0
1584 3.258096538 0 1 33 2 43 0 0 0 0 1
1585 4.919980926 0 0 22 1 30 1 0 0 1 0
1590 2.944438979 0 0 39 1 27 0 0 0 1 0
1591 3.988984047 0 0 35 2 28 0 1 0 0 1
1593 4.262679877 0 0 7 1 18 1 0 0 0 0
1596 5.631211782 0 0 15 2 13 1 0 0 0 0
1598 2.302585093 0 0 16 1 9 0 1 0 0 0
1599 2.890371758 0 0 18 4 30 1 0 0 0 1
1601 2.63905733 0 0 20 1 29 1 0 0 1 0
1604 3.737669618 0 1 29 2 10 0 0 0 0 0
1606 4.110873864 0 0 29 2 71 1 0 0 1 0
1607 3.80666249 0 0 48 1 110 0 0 0 0 0
1610 2.302585093 0 1 14 3 21 0 0 1 0 0
1611 3.295836866 0 0 28 3 17 0 0 1 1 0
1612 3.496507561 1 0 41 1 14 0 0 1 0 1
1613 2.302585093 0 0 10 2 10 1 0 0 0 0
1614 2.833213344 0 0 18 1 34 0 1 0 1 0
1616 3.433987204 0 0 16 2 31 0 1 0 0 0
1617 3.555348061 0 0 42 1 50 0 0 0 0 1
1619 4.605170186 0 1 14 3 18 1 0 0 0 1
1622 1.945910149 0 0 16 2 12 1 0 0 0 0
1624 2.63905733 0 0 9 1 14 0 1 0 1 0
